user_id,stage,event_date
U0001,app_downloaded,2024-12-21
U0001,registered,2024-12-22
U0001,kyc_completed,2024-12-23
U0001,card_activated,2024-12-24
U0001,first_transaction,2024-12-25
U0002,app_downloaded,2024-03-18
U0002,registered,2024-03-19
U0003,app_downloaded,2024-12-25
U0003,registered,2024-12-26
U0003,kyc_completed,2024-12-27
U0003,card_activated,2024-12-28
U0004,app_downloaded,2024-07-05
U0004,registered,2024-07-06
U0004,kyc_completed,2024-07-07
U0004,card_activated,2024-07-08
U0004,first_transaction,2024-07-09
U0005,app_downloaded,2024-03-13
U0005,registered,2024-03-14
U0006,app_downloaded,2024-10-26
U0006,registered,2024-10-27
U0006,kyc_completed,2024-10-28
U0006,card_activated,2024-10-29
U0007,app_downloaded,2024-11-11
U0007,registered,2024-11-12
U0007,kyc_completed,2024-11-13
U0007,card_activated,2024-11-14
U0007,first_transaction,2024-11-15
U0008,app_downloaded,2024-03-26
U0008,registered,2024-03-27
U0008,kyc_completed,2024-03-28
U0008,card_activated,2024-03-29
U0008,first_transaction,2024-03-30
U0009,app_downloaded,2024-09-03
U0009,registered,2024-09-04
U0009,kyc_completed,2024-09-05
U0009,card_activated,2024-09-06
U0009,first_transaction,2024-09-07
U0010,app_downloaded,2024-12-10
U0010,registered,2024-12-11
U0011,app_downloaded,2024-09-10
U0011,registered,2024-09-11
U0011,kyc_completed,2024-09-12
U0011,card_activated,2024-09-13
U0011,first_transaction,2024-09-14
U0012,app_downloaded,2024-02-12
U0012,registered,2024-02-13
U0012,kyc_completed,2024-02-14
U0012,card_activated,2024-02-15
U0012,first_transaction,2024-02-16
U0013,app_downloaded,2024-12-30
U0013,registered,2024-12-31
U0013,kyc_completed,2025-01-01
U0013,card_activated,2025-01-02
U0013,first_transaction,2025-01-03
U0014,app_downloaded,2024-09-10
U0014,registered,2024-09-11
U0014,kyc_completed,2024-09-12
U0014,card_activated,2024-09-13
U0014,first_transaction,2024-09-14
U0015,app_downloaded,2024-10-02
U0015,registered,2024-10-03
U0015,kyc_completed,2024-10-04
U0015,card_activated,2024-10-05
U0016,app_downloaded,2024-05-26
U0016,registered,2024-05-27
U0016,kyc_completed,2024-05-28
U0016,card_activated,2024-05-29
U0016,first_transaction,2024-05-30
U0017,app_downloaded,2024-08-29
U0017,registered,2024-08-30
U0017,kyc_completed,2024-08-31
U0017,card_activated,2024-09-01
U0017,first_transaction,2024-09-02
U0018,app_downloaded,2024-02-12
U0018,registered,2024-02-13
U0018,kyc_completed,2024-02-14
U0018,card_activated,2024-02-15
U0018,first_transaction,2024-02-16
U0019,app_downloaded,2024-01-14
U0019,registered,2024-01-15
U0019,kyc_completed,2024-01-16
U0019,card_activated,2024-01-17
U0019,first_transaction,2024-01-18
U0020,app_downloaded,2024-04-12
U0020,registered,2024-04-13
U0020,kyc_completed,2024-04-14
U0021,app_downloaded,2024-03-30
U0021,registered,2024-03-31
U0021,kyc_completed,2024-04-01
U0021,card_activated,2024-04-02
U0021,first_transaction,2024-04-03
U0022,app_downloaded,2024-06-03
U0022,registered,2024-06-04
U0022,kyc_completed,2024-06-05
U0022,card_activated,2024-06-06
U0022,first_transaction,2024-06-07
U0023,app_downloaded,2024-10-05
U0023,registered,2024-10-06
U0024,app_downloaded,2024-08-04
U0024,registered,2024-08-05
U0024,kyc_completed,2024-08-06
U0024,card_activated,2024-08-07
U0025,app_downloaded,2024-06-25
U0025,registered,2024-06-26
U0025,kyc_completed,2024-06-27
U0025,card_activated,2024-06-28
U0025,first_transaction,2024-06-29
U0026,app_downloaded,2024-09-24
U0026,registered,2024-09-25
U0026,kyc_completed,2024-09-26
U0026,card_activated,2024-09-27
U0026,first_transaction,2024-09-28
U0027,app_downloaded,2024-12-03
U0027,registered,2024-12-04
U0027,kyc_completed,2024-12-05
U0027,card_activated,2024-12-06
U0027,first_transaction,2024-12-07
U0028,app_downloaded,2024-11-07
U0028,registered,2024-11-08
U0028,kyc_completed,2024-11-09
U0028,card_activated,2024-11-10
U0028,first_transaction,2024-11-11
U0029,app_downloaded,2024-06-23
U0029,registered,2024-06-24
U0029,kyc_completed,2024-06-25
U0030,app_downloaded,2024-01-12
U0030,registered,2024-01-13
U0030,kyc_completed,2024-01-14
U0030,card_activated,2024-01-15
U0030,first_transaction,2024-01-16
U0031,app_downloaded,2024-04-29
U0031,registered,2024-04-30
U0031,kyc_completed,2024-05-01
U0031,card_activated,2024-05-02
U0031,first_transaction,2024-05-03
U0032,app_downloaded,2024-12-14
U0033,app_downloaded,2024-11-26
U0033,registered,2024-11-27
U0033,kyc_completed,2024-11-28
U0033,card_activated,2024-11-29
U0034,app_downloaded,2024-02-27
U0034,registered,2024-02-28
U0034,kyc_completed,2024-02-29
U0034,card_activated,2024-03-01
U0034,first_transaction,2024-03-02
U0035,app_downloaded,2024-01-04
U0035,registered,2024-01-05
U0035,kyc_completed,2024-01-06
U0035,card_activated,2024-01-07
U0035,first_transaction,2024-01-08
U0036,app_downloaded,2024-11-25
U0036,registered,2024-11-26
U0036,kyc_completed,2024-11-27
U0036,card_activated,2024-11-28
U0036,first_transaction,2024-11-29
U0037,app_downloaded,2024-03-17
U0037,registered,2024-03-18
U0037,kyc_completed,2024-03-19
U0037,card_activated,2024-03-20
U0037,first_transaction,2024-03-21
U0038,app_downloaded,2024-05-25
U0038,registered,2024-05-26
U0038,kyc_completed,2024-05-27
U0039,app_downloaded,2024-05-11
U0039,registered,2024-05-12
U0039,kyc_completed,2024-05-13
U0040,app_downloaded,2024-03-05
U0040,registered,2024-03-06
U0041,app_downloaded,2024-10-23
U0041,registered,2024-10-24
U0041,kyc_completed,2024-10-25
U0041,card_activated,2024-10-26
U0041,first_transaction,2024-10-27
U0042,app_downloaded,2024-01-18
U0042,registered,2024-01-19
U0042,kyc_completed,2024-01-20
U0042,card_activated,2024-01-21
U0042,first_transaction,2024-01-22
U0043,app_downloaded,2024-10-24
U0043,registered,2024-10-25
U0044,app_downloaded,2024-01-31
U0044,registered,2024-02-01
U0044,kyc_completed,2024-02-02
U0044,card_activated,2024-02-03
